防御1	地	地×2
防御2	地	地×4
防御3	地	地×6
EP1	地	地×2
EP2	地	地×4
EP3	地	地×6
腐蚀之刃	地	地×3
腐蚀之刃II	地	地×5
地灵之诗	地	地×3
大地之诗	地	地×5
黄晶之轮	地	地×3
刚玉之轮	地	地×5
耀脉	地	地×4，火×2
金牛	地	地×5，风×3
狂龙	地	地×6，幻×4
HP1	水	水×2
HP2	水	水×4
HP3	水	水×6
魔防1	水	水×2
魔防2	水	水×4
魔防3	水	水×6
冻结之刃	水	水×3
冻结之刃II	水	水×5
水灵之诗	水	水×3
苍冰之诗	水	水×5
青晶之轮	水	水×3
蓝玉之轮	水	水×5
慈爱	水	水×4，地×2
海妖	水	水×5，空×3
巨兽	水	水×6，时×4
攻击1	火	火×2
攻击2	火	火×4
攻击3	火	火×6
破坏1	火	火×2
破坏2	火	火×4
破坏3	火	火×6
炎伤之刃	火	火×3
炎伤之刃II	火	火×5
火灵之诗	火	火×3
业火之诗	火	火×5
赤晶之轮	火	火×3
红玉之轮	火	火×5
猛袭	火	火×4，风×2
赤兔马	火	火×5，水×3
黑狼	火	火×6，时×4
回避1	风	风×2
回避2	风	风×4
回避3	风	风×6
必杀1	风	风×2
必杀2	风	风×4
必杀3	风	风×6
封技之刃	风	风×3
封技之刃II	风	风×5
风灵之诗	风	风×3
威风之诗	风	风×5
绿晶之轮	风	风×3
翠玉之轮	风	风×5
异香	风	风×4，水×2
风灵	风	风×5，空×3
圣兽	风	风×6，幻×4
行动力1	时	时×2
行动力2	时	时×4
行动力3	时	时×6
驱动1	时	时×2
驱动2	时	时×4
驱动3	时	时×6
黑暗之刃	时	时×3
黑暗之刃II	时	时×5
星灵之诗	时	时×3
晓星之诗	时	时×5
紫晶之轮	时	时×3
黑银之轮	时	时×5
幸运	时	时×4，风×2
水妖	时	时×5，地×3
八咫鸟	时	时×6，幻×4
省EP1	空	空×2
省EP2	空	空×4
省EP3	空	空×6
命中1	空	空×2
命中2	空	空×4
命中3	空	空×6
封魔之刃	空	空×3
封魔之刃II	空	空×5
阳灵之诗	空	空×3
极光之诗	空	空×5
金晶之轮	空	空×3
黄金之轮	空	空×5
天启	空	空×4，火×2
尖牙	空	空×5，地×3
阿玛蒂亚	空	空×6，时×4
精神1	幻	幻×2
精神2	幻	幻×4
精神3	幻	幻×6
妨害1	幻	幻×2
妨害2	幻	幻×4
妨害3	幻	幻×6
恐惧之刃	幻	幻×3
恐惧之刃II	幻	幻×5
月灵之诗	幻	幻×3
胧月之诗	幻	幻×5
银晶之轮	幻	幻×3
白银之轮	幻	幻×5
空蝉	幻	幻×4，水×2
红玉	幻	幻×5，火×3
白泽	幻	幻×6，空×4
